Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
262;expert;Amritvir Singh;2018;0;4;1;44
263;expert;Quadeer Shaikh;2019;0;1;3;44
264;expert;Habib Gültekin;2020;0;0;9;44
265;expert;KA-KA-shi;2020;0;0;9;44
266;expert;Naresh Bhat;2020;1;0;3;44
267;expert;Ali Farajnia;2021;0;0;6;44
268;expert;Old Monk;2014;0;0;8;43
269;expert;Mobassir;2018;0;1;6;43
270;expert;Subin An;2019;0;1;4;43
271;expert;Suman Dey;2020;0;1;4;43
272;expert;Dan Ofer;2013;1;0;8;42
273;expert;katsu1110;2016;0;1;2;42
274;expert;Andrew Lukyanenko;2017;0;3;2;42
275;expert;msafi04;2017;0;0;3;42
276;expert;Manu Siddhartha;2018;0;1;4;42
277;expert;Manish Kumar;2019;1;0;2;42
278;expert;Mr_KnowNothing;2019;0;1;3;42
279;expert;Tanay Mehta;2019;0;0;5;42
280;expert;Devashree Madhugiri;2020;0;0;4;42
281;expert;Muhammet Ikbal Elek;2020;0;0;11;42
282;expert;ammaraahmad;2021;0;0;7;42
283;expert;Samuel Cortinhas;2021;0;0;5;42
284;expert;Kyubyong Park;2015;1;1;6;41
285;expert;Justinas Cirtautas;2017;0;2;1;41
286;expert;Kun Hao Yeh;2018;0;2;2;41
287;expert;ask9;2018;0;2;5;41
288;expert;Wei Hao Khoong;2018;0;1;6;41
289;expert;Ami;2018;0;0;4;41
290;expert;Ashish Jangra;2020;1;0;2;41
291;expert;ItsSuru;2021;0;0;8;41
292;expert;Jeong-Yoon Lee;2012;0;0;5;40
293;expert;David Robinson;2013;1;3;1;40
294;expert;Shruti Saxena;2015;0;1;3;40
295;expert;Chitwan Manchanda;2019;0;0;4;40
296;expert;Niharika Pandit;2019;0;2;2;40
297;expert;??;2020;0;2;2;40
298;expert;Ishan Dutta;2020;0;1;9;40
299;expert;Stanley Zheng;2020;0;2;2;40
300;expert;city-api.io;2021;0;0;7;40
301;expert;xuxu_sky;2021;0;0;5;40
302;expert;M. Gagan Chandra;2021;0;0;5;40
303;expert;Souvik Ganguly;2021;0;0;4;40
304;expert;Luis Moneda;2016;0;2;5;39
305;expert;Gaurav;2018;0;0;5;39
306;expert;Pritesh Raj;2019;0;0;5;39
307;expert;David Roberts;2020;0;0;3;39
308;expert;Rushikesh;2020;0;0;8;39
309;expert;IshaDS;2021;0;0;6;39
310;expert;Michael Bryant;2021;0;0;5;39
311;expert;Alex Teboul;2019;0;0;3;38
312;expert;VolodymyrGavrysh;2019;0;1;4;38
313;expert;Shanmukh;2020;0;0;5;38
314;expert;Preet Viradiya;2020;0;0;6;38
315;expert;Mike Chirico;2015;1;3;3;37
316;expert;Shuyang Li;2016;1;0;3;37
317;expert;Akash Gupta;2017;0;1;7;37
318;expert;Roman;2018;0;2;1;37
319;expert;Sercan Yeþilöz;2019;0;0;5;37
320;expert;Susant_Achary??;2019;0;0;5;37
321;expert;Pratham Tripathi;2020;1;0;2;37
322;expert;Paras Varshney;2020;0;4;0;37
323;expert;Arjun Bhaybhang;2020;0;0;4;37
324;expert;Axel Torbenson;2021;0;0;3;37
325;expert;Thasnihakeem;2021;0;0;4;37
326;expert;?????;2017;2;0;1;36
327;expert;Shiro;2018;0;1;5;36
328;expert;Aladdin Persson;2019;0;1;2;36
329;expert;Siti Khotijah;2019;0;0;7;36
330;expert;Nikit Periwal;2019;0;0;5;36
331;expert;Eswar Chand;2020;1;0;3;36
332;expert;Akash Guna;2020;0;1;2;36
333;expert;Aayush Sharma;2020;0;1;3;36
334;expert;Abhi;2020;0;1;2;36
335;expert;Buqi_;2021;0;0;3;36
336;expert;Prabin Raj;2021;0;0;4;36
337;expert;Bala Vashan;2021;0;0;4;36
338;expert;Md. Jafril Alam Shihab;2021;0;0;4;36
339;expert;Dieter;2018;0;1;6;35
340;expert;Mohd Abdul Azeem;2020;0;0;4;35
341;expert;Manikantan R Nair;2020;0;0;5;35
342;expert;Debarshi Chanda;2020;0;0;4;35
343;expert;Vaishnavi V;2021;0;0;8;35
344;expert;Hetul Mehta;2021;0;1;3;35
345;expert;Kiran Sharma;2021;0;0;6;35
346;expert;Nadia Nizam;2021;0;0;3;35
347;expert;Shion;2017;0;4;3;34
348;expert;Yash Gupta;2019;0;1;2;34
349;expert;Sripaad Srinivasan;2019;0;0;6;34
350;expert;Arnaud ROUGETET;2019;0;1;2;34
351;expert;Co-learning Lounge;2021;0;1;4;34
352;expert;Yvtsan Levy;2021;0;0;3;34
